1	8564	8564	8
2	8739	8739	70
3	9115	9115	23
4	7596	7596	103
5	8901	8901	97
6	9020	9020	67
7	9379	9379	28
8	9382	9382	43
9	1613	1613	37
10	1832	1832	63
11	1467	1467	31
12	1591	1591	29
13	1862	1862	19
14	4812	4812	26
15	4870	4870	40
16	5376	5376	16
17	5577	5577	60
18	6039	6039	26
19	6266	6266	8
20	1012	1012	173
21	1247	1247	56
23	593	593	22
24	687	687	1
25	1326	1326	49
26	342	342	90
27	435	435	54
28	645	645	36
29	803	803	13
30	724	724	47
31	859	859	36
32	865	865	59
33	2244	2244	22
34	2244	2244	22
35	2255	2255	21
36	2304	2304	38
37	2325	2325	21
38	1997	1997	11
39	2043	2043	22
40	2260	2260	56
41	2362	2362	4
42	2387	2387	36
43	14758	14758	23
44	14765	14765	5
45	14740	14740	50
46	14835	14835	13
47	13959	13959	63
48	13994	13994	5
49	13419	13419	2
50	11144	11144	11
51	11545	11545	73
52	12021	12021	31
53	12159	12159	1
54	12175	12175	51
55	12270	12270	42
56	11637	11637	65
57	11643	11643	13
58	11658	11658	15
59	10684	10684	10
60	10921	10921	93
61	8533	8533	19
62	9322	9322	9
63	9809	9809	20
64	10822	10822	28
65	11031	11031	19
66	11324	11324	22
67	11362	11362	37
68	11901	11901	36
69	9598	9598	4
70	9637	9637	65
71	9748	9748	95
72	9885	9885	15
73	10272	10272	6
74	11609	11609	21
75	11728	11728	107
76	9533	9533	62
77	9539	9539	34
78	9898	9898	31
79	10137	10137	53
80	10351	10351	34
81	11155	11155	70
82	11574	11574	26
83	1325	1325	28
84	1349	1349	23
85	1367	1367	78
86	1416	1416	16
87	1717	1717	18
88	7365	7365	55
89	7381	7381	30
90	7519	7519	64
91	7983	7983	232
92	6491	6491	35
93	6641	6641	7
94	6045	6045	53
95	6716	6716	70
96	6723	6723	72
97	6947	6947	84
98	6996	6996	65
99	7438	7438	74
100	8648	8648	91
101	8884	8884	74
102	9008	9008	18
103	9073	9073	56
104	9438	9438	11
105	9470	9470	66
106	9546	9546	11
107	8437	8437	50
108	8805	8805	65
109	8937	8937	60
110	9034	9034	71
111	9173	9173	71
112	4104	4104	39
113	5081	5081	145
114	5531	5531	55
115	5760	5760	81
116	5790	5790	63
117	6061	6061	59
118	4476	4476	67
119	4490	4490	3
120	3383	3383	17
121	3402	3402	4
122	3634	3634	4
123	2848	2848	15
124	3161	3161	23
125	3257	3257	27
126	4174	4174	55
127	9685	9685	23
128	9205	9205	1
129	9317	9317	34
131	7217	7217	31
132	8389	8389	37
133	8959	8959	45
134	9709	9709	92
135	9726	9726	26
136	5918	5918	131
137	5190	5190	83
138	6300	6300	136
139	6546	6546	134
140	5509	5509	23
141	5644	5644	32
142	5681	5681	56
143	14994	14994	6
144	14995	14995	11
145	15032	15032	5
146	15059	15059	6
147	13629	13629	90
148	13254	13254	23
149	13644	13644	23
150	13163	13163	28
151	14845	14845	39
152	14856	14856	39
153	14777	14777	10
154	10449	10449	281
155	10506	10506	288
156	9081	9081	22
157	9293	9293	36
158	8646	8646	43
159	9334	9334	43
160	10026	10026	43
161	5230	5230	124
162	5654	5654	117
163	6275	6275	90
164	6887	6887	90
165	4689	4689	35
166	4704	4704	35
167	4735	4735	14
168	6163	6163	55
169	5137	5137	96
170	1466	1466	37
171	1470	1470	43
172	1538	1538	16
173	1539	1539	16
174	1805	1805	28
175	1953	1953	51
176	3822	3822	4
177	4065	4065	69
178	2441	2441	32
179	3031	3031	32
180	3050	3050	46
181	3673	3673	104
182	3845	3845	22
183	1419	1419	13
184	799	799	40
186	1399	1399	3
187	14971	14971	12
188	14852	14852	5
189	14369	14369	40
190	14400	14400	44
191	14444	14444	42
192	14507	14507	59
193	13991	13991	53
194	2072	2072	21
195	2073	2073	49
196	2135	2135	19
197	2416	2416	11
198	14646	14646	23
199	12847	12847	115
200	14568	14568	77
201	13188	13188	6
202	13198	13198	6
203	13794	13794	153
204	11860	11860	65
205	12241	12241	27
206	12501	12501	38
207	12670	12670	1
208	12931	12931	58
209	11686	11686	54
210	12797	12797	82
211	13126	13126	73
212	2420	2420	102
213	2770	2770	135
214	2818	2818	181
215	3491	3491	257
216	3565	3565	149
217	9692	9692	66
218	11504	11504	94
219	11554	11554	45
220	10452	10452	62
221	10520	10520	6
222	10576	10576	3
223	9855	9855	22
224	10039	10039	22
225	10115	10115	66
226	10155	10155	121
227	3156	3156	5
228	3170	3170	3
229	3353	3353	20
230	4008	4008	35
231	3036	3036	62
232	3195	3195	46
233	71	71	22
234	184	184	58
235	48	48	42
236	656	656	26
237	13836	13836	28
238	14110	14110	58
239	14191	14191	28
240	12321	12321	59
241	12477	12477	18
242	12573	12573	23
243	13976	13976	6
244	14002	14002	6
245	12879	12879	7
246	13184	13184	16
247	13388	13388	14
248	13535	13535	38
249	13549	13549	35
250	13697	13697	57
251	13896	13896	19
252	14888	14888	27
253	12364	12364	91
254	12383	12383	37
255	10871	10871	23
256	11192	11192	12
257	11787	11787	92
258	2483	2483	39
259	3021	3021	17
260	3711	3711	54
261	6400	6400	41
262	8902	8902	35
263	9977	9977	70
264	9408	9408	99
265	3221	3221	51
266	4873	4873	37
267	4936	4936	37
268	3282	3282	32
269	3407	3407	35
270	3703	3703	85
271	3800	3800	44
272	2097	2097	114
273	4124	4124	65
274	4351	4351	221
275	4484	4484	33
276	2897	2897	219
277	2982	2982	52
278	2579	2579	106
279	2693	2693	161
280	2832	2832	80
281	2836	2836	16
